timeframe,capital,strategy,max_concurrent,ml_threshold,sizing_config,total_resolved,wins,losses,winrate,final_balance,max_dd_usd,max_dd_pct,blown
M15,100.0,Swapzone,3,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,Swapzone,5,0.0,equal,983,419,564,42.624618514750765,1588.449426000002,374.42811600000186,57.32265567355429,False
M15,100.0,Swapzone,5,0.5,equal,27,10,17,37.03703703703704,200.06156400000054,116.24506400000064,48.24994871811013,False
M15,100.0,Swapzone,5,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,Swapzone,5,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,Swapzone,5,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,Swapzone,100,0.0,equal,983,419,564,42.624618514750765,1588.449426000002,374.42811600000186,57.32265567355429,False
M15,100.0,Swapzone,100,0.5,equal,27,10,17,37.03703703703704,200.06156400000054,116.24506400000064,48.24994871811013,False
M15,100.0,Swapzone,100,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,Swapzone,100,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,Swapzone,100,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BPR,1,0.0,equal,286,152,134,53.14685314685315,0.0,195.60712200000853,114.34407657753516,True
M15,100.0,BPR,1,0.5,equal,28,14,14,50.0,0.0,242.59436000000005,146.25456501494543,True
M15,100.0,BPR,1,0.7,equal,3,1,2,33.33333333333333,0.0,144.28915599999982,120.20339977090532,True
M15,100.0,BPR,1,0.8,equal,2,0,2,0.0,0.0,144.28915599999982,144.28915599999982,True
M15,100.0,BPR,1,0.85,equal,2,0,2,0.0,0.0,144.28915599999982,144.28915599999982,True
M15,100.0,BPR,3,0.0,equal,1024,554,470,54.1015625,762.5582879999783,257.11102799999844,117.37534495731103,False
M15,100.0,BPR,3,0.5,equal,30,16,14,53.333333333333336,0.0,242.59436000000005,120.682979663789,True
M15,100.0,BPR,3,0.7,equal,3,1,2,33.33333333333333,0.0,144.28915599999982,120.20339977090532,True
M15,100.0,BPR,3,0.8,equal,2,0,2,0.0,0.0,144.28915599999982,144.28915599999982,True
M15,100.0,BPR,3,0.85,equal,2,0,2,0.0,0.0,144.28915599999982,144.28915599999982,True
M15,100.0,BPR,5,0.0,equal,1024,554,470,54.1015625,762.5582879999783,257.11102799999844,117.37534495731103,False
M15,100.0,BPR,5,0.5,equal,30,16,14,53.333333333333336,0.0,242.59436000000005,120.682979663789,True
M15,100.0,BPR,5,0.7,equal,3,1,2,33.33333333333333,0.0,144.28915599999982,120.20339977090532,True
M15,100.0,BPR,5,0.8,equal,2,0,2,0.0,0.0,144.28915599999982,144.28915599999982,True
M15,100.0,BPR,5,0.85,equal,2,0,2,0.0,0.0,144.28915599999982,144.28915599999982,True
M15,100.0,BPR,100,0.0,equal,1024,554,470,54.1015625,762.5582879999783,257.11102799999844,117.37534495731103,False
M15,100.0,BPR,100,0.5,equal,30,16,14,53.333333333333336,0.0,242.59436000000005,120.682979663789,True
M15,100.0,BPR,100,0.7,equal,3,1,2,33.33333333333333,0.0,144.28915599999982,120.20339977090532,True
M15,100.0,BPR,100,0.8,equal,2,0,2,0.0,0.0,144.28915599999982,144.28915599999982,True
M15,100.0,BPR,100,0.85,equal,2,0,2,0.0,0.0,144.28915599999982,144.28915599999982,True
M15,100.0,IC,1,0.0,equal,1304,561,743,43.02147239263804,1647.6609880000206,366.2847879999981,78.30902805694897,False
M15,100.0,IC,1,0.5,equal,9,0,9,0.0,0.0,117.05977999999868,117.05977999999868,True
M15,100.0,IC,1,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,IC,1,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,IC,1,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,IC,3,0.0,equal,1474,627,847,42.53731343283582,1539.8079360000156,366.83396800000355,88.13515875990653,False
M15,100.0,IC,3,0.5,equal,9,0,9,0.0,0.0,117.05977999999868,117.05977999999868,True
M15,100.0,IC,3,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,IC,3,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,IC,3,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,IC,5,0.0,equal,1474,627,847,42.53731343283582,1539.8079360000156,366.83396800000355,88.13515875990653,False
M15,100.0,IC,5,0.5,equal,9,0,9,0.0,0.0,117.05977999999868,117.05977999999868,True
M15,100.0,IC,5,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,IC,5,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,IC,5,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,IC,100,0.0,equal,1474,627,847,42.53731343283582,1539.8079360000156,366.83396800000355,88.13515875990653,False
M15,100.0,IC,100,0.5,equal,9,0,9,0.0,0.0,117.05977999999868,117.05977999999868,True
M15,100.0,IC,100,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,IC,100,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,IC,100,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,COMBINED,1,0.0,equal,3846,1881,1965,48.90795631825273,5944.22114400002,561.7143740000001,76.06565125023619,False
M15,100.0,COMBINED,1,0.5,equal,518,284,234,54.826254826254825,1645.6644240000096,340.8087179999993,42.84548123185583,False
M15,100.0,COMBINED,1,0.7,equal,10,4,6,40.0,0.0,276.5007059999989,238.59613155975876,True
